Arquivo	Variável	Descrição
quadro14_LM160502014_sad69_23S.shp	ID	Código identificador da feição
quadro14_LM160502014_sad69_23S.shp	CODL	Código do Logradouro
quadro14_LM160502014_sad69_23S.shp	QF	Código da quadra fiscal
quadro14_LM160502014_sad69_23S.shp	qf_ok	Código da quadra fiscal retificado 
quadro14_LM160502014_sad69_23S.shp	qf_codlg	Chave primária (CODLOGQF)
quadro14_LM160502014_sad69_23S.shp	VtoutOnero	Cadastro do valor do terreno em R$/metro ²
